英雄,关键词,胜率,图片链接,本月使用人数,本月使用人数排名,热门物品,技能,天赋
陈,chen,48.589,http://cdn.max-c.com/app/dota2/chen@3x.png,191006,117,"['弗拉迪米尔的祭品', '奥术鞋', '卫士胫甲', '梅肯斯姆', '勇气勋章', '速度之靴', '侦查·岗哨守卫', '魔杖', '王者之戒']","['[赎罪 ] 迫使一个敌方单位移动变慢，友军攻击他时攻速提升。 ', '[神圣劝化 ] 陈控制住敌方小兵或者中立生物。若被劝化的目标拥有的生命值低于最小生命值，其生命值将会提升到最小生命值。被劝化的目标移动速度和攻击力将得到提升。  可用神杖升级。  tips: 如果达到劝化生物的数量上限后再劝化生物，最早劝化的单位将立即死亡。 装备阿哈利姆神杖后才能对远古中立生物施放本技能。 升级此技能后在升级前劝化的单位并不会增加生命值。 劝化时单位的魔法恢复至满魔。 ', '[神力恩泽 ] 光环提供生命恢复加成，并且所有生命回复效果增强一定百分比。  可对友军施放，将其传送到陈身边。对陈自身施放则陈控制的所有神圣劝化单位都会传送到他身边。若目标受到伤害将导致效果被驱散。 ', '[上帝之手 ] 治疗地图上的所有友军英雄以及陈控制的所有单位。  tips: 可以治疗无敌和被隐藏/放逐友军。 ']","['天赋1：', '+200 施法距离', '+30% 经验获取', '天赋2：', '+20 神圣劝化攻击力', '-30秒 神力恩泽冷却', '天赋3：', '+1000 神圣劝化最低生命', '+180 金钱/分', '天赋4：', '+350 上帝之手治疗', '+5 神圣劝化单位上限']"
幽鬼,spectre,54.108,http://cdn.max-c.com/app/dota2/spectre@3x.png,1876605,49,"['辉耀', '幻影斧', '相位鞋', '刃甲', '动力鞋', '恐鳌之心', '净魂之刃', '先锋盾', '魔杖']","['[幽鬼之刃 ] 幽鬼掷出一把匕首，留下一条暗影之径，对路径上的敌人造成伤害并降低其移动速度。被匕首击中的单位移动时也会留下暗影之径。幽鬼在暗影之径上可以无视地形移动。  tips: 在离开暗影之径后2秒内碰撞体积依然为0，作为缓冲时间。 ', '[荒芜 ] 当敌人落单时，幽鬼的攻击对他们造成额外伤害。敌人的视野将有所减少，持续5.0秒。  tips: 伤害在幽鬼攻击前产生。 幽鬼的幻象继承荒芜。 ', '[折射 ] 幽鬼将受到的伤害折射给敌人，降低她受到的伤害。距离越远，效果越小。  tips: 幽鬼本身不承受被折射的伤害。 幻象并不继承此技能。 伤害在减免前折射，并且折射的伤害与原伤害类型相同。 ', '[空降 ] 幽鬼与选中的鬼影交换位置。 ', '[如影随形 ] 对单个目标单位施放鬼影重重。 ', '[鬼影重重 ] 短暂延迟后，在每个敌方英雄身后创造一个复仇鬼影攻击他们。在技能持续期间内幽鬼可以使用空降将她和任一鬼影互换位置。  鬼影无法控制，受到额外伤害，造成的伤害低于幽鬼本体。鬼影的基础移动速度为400，移动无视地形。  可用神杖升级。  tips: 鬼影重重的幻象无法自行控制，基础移动速度为400。 幻象经过1秒延迟后开始攻击目标。 ']","['天赋1：', '+5 全属性', '+6 生命恢复', '天赋2：', '-10秒 幽鬼之刃冷却', '+15 荒芜伤害', '天赋3：', '+18% 幽鬼之刃减速/加速', '+500 生命', '天赋4：', '+6% 折射', '+40% 鬼影重重幻象攻击力']"
远古冰魄,ancient_apparition,52.6032,http://cdn.max-c.com/app/dota2/ancient_apparition@3x.png,2030941,44,"['阿哈利姆神杖', '静谧之鞋', 'Eul的神圣法杖', '魔杖', '奥术鞋', '阿托斯之棍', '侦查·岗哨守卫', '原力法杖', '微光披风']","['[寒霜之足 ] 在一个敌方单位身上施放造成持续伤害的寒冰咒印，但对象只要远离施法点足够距离即可消除咒印。如果受攻击单位没有在4秒内走出消除距离，则将被眩晕并冻在原地。  tips: 每级可能造成的最大伤害：120/200/280/360。 每1秒造成一次伤害。 ', '[冰霜漩涡 ] 创造一个寒冰能量的漩涡，降低范围内敌人的移动速度，增加他们受到的魔法伤害。  tips: 使远古冰魄在作用范围内获得相应移动速度加成。 不会作用于技能免疫状态下的单位。 ', '[极寒之触 ] 使自己的普通攻击附带高额魔法伤害和减速效果。本次攻击的攻击距离得到提升。  tips: 额外伤害与普通攻击造成的伤害分开计算。 只对英雄和小兵有效。 ', '[冰晶爆轰 ] 向地图的任意位置发出爆炸冰球，在冰球飞行时再次施放此技能将使其停下，使所在区域产生毁灭性的冰爆。冰球飞行的距离越长，冰爆影响的范围也将越大。冰爆范围内的所有敌方单位将马上受到大量伤害，而处于冰球飞行路径上的敌方英雄将与冰爆范围内的敌方英雄一同受到寒霜诅咒的作用，持续受到小幅伤害，同时无法恢复生命值。在此期间如果生命值低于一定百分比，该英雄将立刻死亡。  可用神杖升级。  tips: 作用范围的大小是275+50*指向球的飞行时间，上限为1000。对沿途路径上的单位施加寒霜诅咒的作用范围是275。 击杀目标的英雄由触发即死的伤害来源决定。 斩杀效果对幻象无效。 生命冻结将阻止包括泉水在内的大部分回复效果。 寒霜诅咒的负面状态无法被驱散。 ', '[释放 ] 在它当前的位置放出冰晶爆轰。 ']","['天赋1：', '+10% 技能增强', '+90 金钱/分', '天赋2：', '+20 生命恢复', '-2.5秒 冰霜漩涡冷却', '天赋3：', '+80 极寒之触伤害', '+8% 冰霜漩涡减速/伤害加深', '天赋4：', '+5% 冰晶爆轰斩杀上限', '625 范围型寒霜之足']"
末日使者,doom_bringer,47.1007,http://cdn.max-c.com/app/dota2/doom_bringer@3x.png,1320722,68,"['相位鞋', '韧鼓', '闪烁匕首', '黑皇杖', '希瓦的守护', '迈达斯之手', '魔杖', '影刃', '圆盾']","['[吞噬 ] 消化一个敌军或中立生物，获得其特殊技能。  tips: 末日使者将获得该生物的正常金钱，还有技能的额外金钱。 吞噬后消化的时间由该单位的当前生命值决定。 末日使者在正常情况下不能吞噬远古单位。 如果吞噬的单位没有技能，之前获得的技能将会保留。 ', '[焦土 ] 用火焰覆盖周围的土地，对敌人造成伤害，同时其移动速度得到提升。  tips: 焦土会跟随末日使者，以他所在位置为中心。 末日使者控制的其他单位也能享受焦土的加成。 ', '[阎刃 ] 末日挥舞他的炽烈之剑，将敌人点燃。造成0.6秒眩晕，并施加一个燃烧效果，持续4.0秒，每秒造成25 + 1.25 2.5 3.75 5%目标最大生命值的伤害。  tips: 可以打断持续施法类技能。 ', '[末日 ] 对敌人施加末日诅咒，使其无法施放技能或使用物品，同时造成持续伤害。  可用神杖升级。  驱散类型：弱驱散  tips: 受到末日作用的单位在生命值低于25%时可以被反补。 ']","['天赋1：', '+16% 焦土移动速度', '+20 焦土伤害', '天赋2：', '+150 吞噬额外金钱', '20% 闪避', '天赋3：', '吞噬可作用远古', '+40 末日每秒伤害', '天赋4：', '+175% 分裂', '+3% 阎刃伤害']"
熊战士,ursa,51.2939,http://cdn.max-c.com/app/dota2/ursa@3x.png,1970558,46,"['相位鞋', '闪烁匕首', '黑皇杖', '碎颅锤', '弗拉迪米尔的祭品', '吸血面具', '深渊之刃', '金箍棒', '圆盾']","['[震撼大地 ] 乌尔萨猛击地面带来强烈的冲击，对附近范围内的所有敌方单位造成伤害并减速4秒。 ', '[超强力量 ] 乌尔萨的战斗技巧提升他接下来几次攻击的攻击速度。  tips: 开启黑皇杖并不会移除超强力量。 ', '[怒意狂击 ] 熊战士的利爪深深地撕裂敌人的伤口，对同一敌人连续攻击将造成更多伤害。如果同一个目标在8 12 16 20秒内不受攻击，将失去额外伤害加成。 ', '[激怒 ] 乌尔萨进入狂怒状态，怒意狂击的额外伤害将增加数倍，并且承受的伤害减少80%。施放时将移除所受的负面效果。  可用神杖升级。  驱散类型：强驱散 ']","['天赋1：', '+8 力量', '+3 魔法恢复', '天赋2：', '+25秒 怒意狂击重置时间', '+14 敏捷', '天赋3：', '+16 怒意狂击伤害', '+1.5秒 激怒持续时间', '天赋4：', '激怒获得80%状态抗性', '+600 震撼大地范围']"
裂魂人,spirit_breaker,50.6544,http://cdn.max-c.com/app/dota2/spirit_breaker@3x.png,3091698,20,"['动力鞋', '刃甲', '魂之灵瓮', '魔杖', '回音战刃', '圆盾', '影之灵龛', '显影之尘', '相位鞋']","['[暗影冲刺 ] 裂魂人盯紧一个敌方单位，开始无视一切物体的冲刺。途中经过的所有敌方单位和目标单位都将受到巨力重击。如果目标单位在到达前死亡了，裂魂人将他的目标改为原路径上最近的一个敌方单位。  tips: 裂魂人在冲刺过程中能穿过树木，悬崖和任何单位。 冲刺指示特效仅对队友可见。 裂魂人将获得并共享目标的视野。 ', '[威吓 ] 裂魂人获得移动速度和状态抗性加成，在敌人之间横冲直撞。可以在冲刺期间使用。 ', '[巨力重击 ] 攻击时有一定概率眩晕并击退敌方单位。重击的伤害值为移动速度的一定百分比。  tips: 不与碎颅锤叠加。 ', '[幽冥一击 ] 裂魂人遁入幽冥领域，从不幸的目标身旁再次出现，发动当前等级的巨力重击并造成额外伤害。击退距离为平常的两倍。  可用神杖升级。  tips: 裂魂人将在目标身后出现并发动巨力重击。 ']","['天赋1：', '+5 护甲', '+600 夜间视野', '天赋2：', '+40 攻击力', '+12 生命恢复', '天赋3：', '-7秒 威吓冷却', '+15% 巨力重击伤害', '天赋4：', '+800 生命', '+25% 巨力重击几率']"
矮人直升机,gyrocopter,47.4458,http://cdn.max-c.com/app/dota2/gyrocopter@3x.png,787169,99,"['相位鞋', '黑皇杖', '怨灵系带', '散夜对剑', '漩涡', '金箍棒', '阿哈利姆神杖', '魔杖', '蝴蝶']","['[火箭弹幕 ] 向矮人直升机周围一定范围内的敌方单位齐射导弹。持续3秒。  tips: 火箭弹幕不能伤害矮人直升机视野之外的单位。 ', '[追踪导弹 ] 发射一枚会自动定位目标单位的追踪导弹。导弹发射后持续增加飞行速度，击中目标时造成伤害及眩晕。敌方单位可在导弹接近前将其击落。  tips: 防御塔对导弹造成半额伤害。 准星效果仅对队友可见。 导弹会跟随并击中隐身单位。 ', '[高射火炮 ] 矮人直升机的攻击会击中目标周围一定范围内的所有敌人，持续一定次数的攻击。只有主要目标会受到致命一击等攻击特效。持续15秒或攻击次数用完。  tips: 对主目标的攻击射程没有改变。 ', '[召唤飞弹 ] 召唤导弹从空中打击目标区域内的敌方单位。两发导弹先后到达，第一发造成大量伤害和小幅减速，减速持续2秒；第二发造成少量伤害和大幅减速，减速持续4秒。  可用神杖升级。  tips: 视觉指示范围仅对队友可见。 ']","['天赋1：', '+250 生命', '+20 攻击力', '天赋2：', '+11 火箭弹幕伤害', '+0.5秒 追踪导弹眩晕', '天赋3：', '-25秒 召唤飞弹冷却', '+40 移动速度', '天赋4：', '全屏召唤飞弹', '3 追踪导弹能量点数']"
炼金术士,alchemist,49.0876,http://cdn.max-c.com/app/dota2/alchemist@3x.png,1914193,48,"['辉耀', '远行鞋', '幻影斧', '黑皇杖', '强袭胸甲', '闪烁匕首', '玲珑心', '深渊之刃', '雷神之锤']","['[酸性喷雾 ] 向目标区域喷洒高压酸雾。穿过受污染地带的敌人每秒会受到物理伤害，同时护甲被削弱。 ', '[不稳定化合物 ] 炼金术士调制一瓶不稳定的化合物，投向敌方英雄，对爆炸点周边范围的单位造成伤害并眩晕。调制的时间越久，伤害越大，眩晕时间也越长。调制5秒后达到最大伤害量和最长眩晕时间。然而，如果5.5秒后还不扔出去的话，则会在炼金术士自己手中爆炸。  tips: 炼金术士在摇制期间可以像平常一样移动和攻击。 炼金术士的头顶会有倒计时，提示剩余的摇制时间。倒计时对敌人可见。 可以用此技能将自己反补。 不稳定化合物无法被躲避。 一旦向目标抛出，不稳定化合物的调制过程就会中止。 ', '[贪魔的贪婪 ] 炼金术士将敌人的尸体和赏金神符转化成额外的金币。炼金术士每杀死一个单位，就能获得基础额外金钱和附加额外金钱。如果炼金术士在接下来40秒内又杀死了一个单位，获得了黄金，那么他所获得的附加额外金钱将有一定幅度的增加。另外，赏金神符将提供成倍金钱。 ', '[化学狂暴 ] 炼金术士诱发他的食人魔同伴进入化学狂暴，降低攻击间隔，提高移动速度和回复能力。  驱散类型：弱驱散  tips: 拥有0.35秒的变身时间，可以用来躲避攻击和技能弹道以及眩晕技能。 ', '[投掷不稳定化合物 ] 在爆炸前扔出去！ ']","['天赋1：', '-7秒 不稳定化合物冷却', '+25 攻击速度', '天赋2：', '+50 攻击力', '+400 生命', '天赋3：', '+400 不稳定化合物伤害', '+40% 分裂', '天赋4：', '+30 化学狂暴恢复', '-0.2 化学狂暴基础攻击间隔']"
祈求者,invoker,48.7408,http://cdn.max-c.com/app/dota2/invoker@3x.png,5097225,5,"['阿哈利姆神杖', '空灵挂件', '迈达斯之手', '远行鞋', '闪烁匕首', '黑皇杖', 'Eul的神圣法杖', '林肯法球', '速度之靴']","['[冰 ] 允许祈求者掌控冰元素。每一点冰元素都将提供生命恢复速度加成。  tips: 祈求者最多只有3个球。 ', '[雷 ] 允许祈求者掌控雷元素。每一点雷元素均提供攻击速度和移动速度加成。  tips: 祈求者最多只有3个球。 ', '[火 ] 允许祈求者掌控火元素。每一点火元素提升一定的攻击力。  tips: 祈求者最多只有3个球。 ', '[元素祈唤 ] 将当前掌握的元素精华融合，创造出新的法术供祈求者施放。点击帮助按钮可查看所有可用法术。  可用神杖升级。  tips: 生成的技能与三个球的排列顺序无关。 只是交换现有技能的位置并不会消耗魔法，也不会触发元素祈唤的冷却。 ', '[急速冷却 ] 祈求者将敌人的热量抽空，将其降到绝对零度，持续时间取决于冰元素等级。敌人将伤害并被短暂冻结，后续攻击同样会使敌人冻结并造成额外伤害。被冻结的频率固定，但是技能的冷却时间将会随着冰元素等级提高而缩短。  tips: 只有10点以上的实际伤害才能触发急速冷却。 ', '[幽灵漫步 ] 祈求者操纵冰雷之力围绕自身，使自己隐形。元素的组合会造成附近敌人的减速，减速效果取决于冰元素的等级，并使祈求者自身移动速度减缓，减速效果与雷元素等级成反比。  tips: 减速效果对技能免疫状态下的单位无效。 ', '[强袭飓风 ] 释放出一道快速移动的飓风，将路径上的敌方单位卷起，使其在空中无助的漂浮一段时间，然后落地受死。最大距离取决于雷元素等级。吹起时间取决于冰元素等级。落地伤害取决于雷元素的等级。  驱散类型：弱驱散  tips: 被强袭飓风吹起时单位处于无敌状态，落地时受到伤害。 ', '[电磁脉冲 ] 祈求者在指定位置召唤出一道强力的自爆电磁脉冲，2.9秒后将自动爆炸。爆炸将覆盖一定区域，并根据雷元素的等级损毁敌方的魔法值。对敌方英雄造成损毁魔法值一定百分比的伤害。祈求者将获得50%损毁的魔法。  tips: 对被吹起的单位（强袭飓风或Eul的神圣法杖）无效。 ', '[灵动迅捷 ] 祈求者给友方单位灌注强大的能量，提高其攻击速度和伤害。攻击速度提升程度取决于雷元素等级，攻击力提升取决于火元素等级。 ', '[混沌陨石 ] 祈求者从太空中召唤一枚燃烧的流星打击指定位置。流星着陆后会向前滚动一段距离，每隔一段时间撞击一次作用范围内的敌人，造成基于火元素等级的撞击伤害，滚动距离取决于雷元素的等级。每被撞击一次都将持续受到烧灼伤害，烧灼伤害取决于火元素的等级。  tips: 每个敌方单位受到撞击伤害的间隔为0.5秒，后续较低的烧灼伤害持续3秒。 陨石移动的速度为300。 ', '[阳炎冲击 ] 向目标区域释放毁灭性的阳炎之光能量，一旦能量着陆，将对区域内的敌人进行灼烧。伤害取决于火元素等级，区域内敌人将平摊所有伤害。  tips: 施放后立即获得目标区域的视野。 祈求者使用阳炎冲击击杀英雄后，即使不在经验范围内也能获得经验。 ', '[熔炉精灵 ] 祈求者融合火之灼热和冰之坚毅，创造出熔炉精灵。熔炉精灵的攻击力、魔法值以及护甲取决于火元素的等级，攻击距离、持续时间和生命值取决于冰元素的等级。元素的灼热攻击能够熔化敌方英雄的护甲。  tips: 施放此技能后原有的熔炉精灵将会死亡。 ', '[寒冰之墙 ] 在祈求者前方创造一堵寒冰之墙，持续时间取决于冰元素的等级。冰霜之墙放射出的寒冰之气将对敌方单位造成减速和伤害，减速效果取决于冰元素的等级，每秒伤害取决于火元素的等级。  tips: 如果敌人在受到寒冰之墙作用后获得技能免疫状态，那么减速效果对其依然有效。 ', '[超震声波 ] 祈求者在自己前方释放出超强的声波，对所有敌方单位造成伤害，伤害量取决于火元素的等级。声波的绝对冲击能够将敌方单位击退，击退时间取决于冰元素的等级，同时让他们无法进行攻击，禁止攻击时间取决于雷元素的等级。 ']","['天赋1：', '+40 混沌陨石撞击伤害', '-30秒 幽灵漫步冷却', '天赋2：', '-15秒 急速冷却冷却', '+1 熔炉精灵召唤数量', '天赋3：', '+50 灵动迅捷攻击力/攻速', '毁天灭地', '天赋4：', '-16秒 强袭飓风冷却', '环形超震声波']"
沉默术士,silencer,52.8178,http://cdn.max-c.com/app/dota2/silencer@3x.png,2500714,32,"['空灵挂件', '动力鞋', '飓风长戟', '魔杖', '阿托斯之棍', '原力法杖', '静谧之鞋', '迈达斯之手', '邪恶镰刀']","['[奥术诅咒 ] 诅咒目标区域，其中的敌方英雄会持续受到伤害，并且移动速度被减缓。期间受到作用的英雄一旦施放魔法，持续时间就会延长。  tips: 奥术诅咒作用下的敌方英雄被沉默时，奥术诅咒效果暂停，不造成伤害和减速，也不减少持续时间。 非英雄单位也会受到作用。 ', '[智慧之刃 ] 沉默术士用他的智慧强化刀刃，造成基于他智力值的额外伤害。  可用神杖升级。 ', '[遗言 ] 向目标施加魔咒，只要目标施放技能或者魔咒消失。目标就会受到伤害并被沉默。  tips: 持续施法类技能在英雄结束施法后触发此技能的效果。 ', '[全领域静默 ] 沉默术士停止一切声音，阻止地图上所有敌方英雄和单位施法。  tips: 沉默效果对隐身和技能免疫单位有效，但是期间获得技能免疫状态将移除该效果。 ']","['天赋1：', '+25 攻击速度', '+6 护甲', '天赋2：', '+2 智力窃取', '+120 金钱/分', '天赋3：', '+30 奥术诅咒伤害', '+125 攻击距离', '天赋4：', '+2秒 全领域静默持续时间', '+20% 智慧之刃伤害']"
殁境神蚀者,obsidian_destroyer,45.9617,http://cdn.max-c.com/app/dota2/obsidian_destroyer@3x.png,1121459,79,"['空灵挂件', '动力鞋', '黑皇杖', '闪烁匕首', '邪恶镰刀', '慧夜对剑', '飓风长戟', '迈达斯之手', '慧光']","['[奥术天球 ] 在殁境神蚀者的攻击中附带基于他剩余魔法值的额外纯粹伤害。攻击敌方英雄时每次攻击都可以窃取智力，持续80秒。奥术天球的伤害可以在小范围内溅射。  tips: 根据使用此技能后的魔法值计算附加伤害。 ', '[星体禁锢 ] 将一个目标友方或敌方英雄禁锢在星体中。被禁锢的英雄处于无敌和无法行动状态。禁锢结束时，对目标和周围400范围内敌人造成伤害。  可用神杖升级。  tips: 被禁锢的单位将会在小地图上不可见，并且处于无敌状态。 被禁锢的单位依然能受到神智之蚀的作用。 ', '[衡势 ] 根据造成的伤害被动提供11 18 25 32%吸魔。开启后自身造成技能伤害时可以减缓敌人的移动速度，并且吸魔效果为三倍。 ', '[神智之蚀 ] 释放出一道神智冲击波，受作用英雄将损失最大魔法值的30%，并且还将受到伤害，伤害数值取决于英雄与殁境神蚀者的智力之差。如果有敌方英雄的智力等于或高于殁境神蚀者，那神智之蚀不会对其造成伤害。神智之蚀可以影响星体禁锢中的单位。 ']","['天赋1：', '+20 攻击速度', '+250 生命', '天赋2：', '+6 护甲', '+350 魔法', '天赋3：', '+2 神智之蚀伤害系数', '+20 力量', '天赋4：', '15% 技能吸血', '+60秒 奥术天球智力窃取']"
狼人,lycan,46.9869,http://cdn.max-c.com/app/dota2/lycan@3x.png,304106,115,"['死灵书', '支配头盔', '动力鞋', '圆盾', '压制之刃', '弗拉迪米尔的祭品', '黑皇杖', '强袭胸甲', '黯灭']","['[召狼 ] 召唤两头狼为狼人而战。等级3-4的狼拥有致残技能，等级4的狼还拥有永久隐身技能。  可用神杖升级。  tips: 如果在嗥叫的持续时间内召狼，他们也会有嗥叫效果，直到嗥叫持续时间结束。 精灵狼拥有80%%的魔法抗性。 使用此技能后原来的精灵狼将会死亡。 ', '[嗥叫 ] 给予狼人、所有友方英雄及所有玩家控制的单位攻击速度、护甲和生命恢复加成。 ', '[野性驱使 ] 提升狼人和所有他控制的单位的生命恢复和攻击力。 ', '[变身 ] 狼人展现出他的凶狼形态，提升夜间视野，并获得致命一击的能力。在变形持续时间中，狼人和他控制的所有单位达到超高移动速度，并且不能被减速，每次攻击有40%的几率造成150 175 200%的致命一击伤害。  tips: 狼人的移动速度不会受到妖术的影响。 变狼后狼人的碰撞体积减小。 ']","['天赋1：', '+20 攻击力', '+5 护甲', '天赋2：', '12% 冷却时间减少', '+13 野性驱使生命恢复', '天赋3：', '+18% 野性驱使攻击力', '+8秒 变身持续时间', '天赋4：', '+3 召狼数量', '+40% 变身致命一击概率']"
酒仙,brewmaster,49.165,http://cdn.max-c.com/app/dota2/brewmaster@3x.png,367286,112,"['相位鞋', '闪烁匕首', '弗拉迪米尔的祭品', '魔杖', '辉耀', '黑皇杖', '圆盾', '强袭胸甲', '护腕']","['[雷霆一击 ] 猛击地面，造成伤害并降低附近敌方地面单位的移动速度和攻击速度。 ', '[余烬佳酿 ] 将烈酒洒向一片区域，使敌方单位有几率攻击自身，并且受到的技能伤害超过80点时就会燃烧。点燃时持续时间将会刷新。 ', '[醉拳 ] 进入醉拳状态，拥有一定概率闪避攻击并能造成致命一击。自身移动速度将持续变化，从--20%到40%。持续5秒。  tips: 与其他闪避效果为非线性叠加。 与其他闪避效果为非线性叠加。 ', '[元素分离 ] 酒仙分裂成元素，产生3个各有所长的战士，生存能力极强。只要其中任何一个在召唤时间结束后存活下来，酒仙就能重生。  可用神杖升级。  tips: 大地战士将继承酒仙的所有光环，以及真视宝石的真视效果。 烈火战士拥有相位移动的能力。 技能结束后，酒仙会根据大地→狂风→烈火的顺序选择未阵亡的元素重生。 ']","['天赋1：', '+200 生命', '+15 攻击力', '天赋2：', '+20% 魔法抗性', '+3秒 雷霆一击减速', '天赋3：', '+100 攻击速度', '+1500 元素分离单位生命', '天赋4：', '+175% 醉拳致命一击伤害', '-65秒 元素分离冷却']"
暗影恶魔,shadow_demon,46.8636,http://cdn.max-c.com/app/dota2/shadow_demon@3x.png,765649,102,"['以太透镜', '奥术鞋', '魔杖', '原力法杖', '微光披风', '静谧之鞋', '侦查·岗哨守卫', 'Eul的神圣法杖', '速度之靴']","['[崩裂禁锢 ] 将目标单位从战场上放逐，在持续时间内将其移除。回归时创造2个该单位的幻象，受暗影恶魔控制。 ', '[灵魂猎手 ] 俘获区域内所有敌方单位的灵魂，使其损失当前生命值的一定百分比。负面效果被移除后将重获一半损失的生命。崩裂禁锢作用下的单位也能受到灵魂猎手影响。 ', '[暗影剧毒 ] 在一条直线上造成伤害，并以毒咒折磨敌方单位。根据目标身上的叠加层数，毒咒造成1/2/4/8/16倍的叠加伤害，至多5层。更多层的叠加每层造成50点伤害。这部分延缓的伤害在暗影毒的持续时间结束后生效，或者你可以使用附属技能释放立刻造成伤害。  tips: 暗影剧毒可以作用处于崩裂禁锢的单位。 ', '[释放暗影毒 ] 释放毒咒对所有受影响的单位造成伤害。崩裂禁锢中的单位依然可以受到暗影毒的影响。 ', '[邪恶净化 ] 净化目标敌方单位，移除增益魔法效果，并使目标在持续时间内减速。伤害在持续时间结束时计算，在此之前目标单位的移动速度缓慢地恢复。崩裂禁锢中的单位依然可以受到邪恶净化的影响。  可用神杖升级。  驱散类型：弱驱散  tips: 邪恶净化效果无视技能免疫。 ']","['天赋1：', '+30% 经验获取', '灵魂猎手目标死亡产生幻象', '天赋2：', '+25% 暗影剧毒伤害', '+30 移动速度', '天赋3：', '-1.5秒 暗影剧毒冷却', '-6秒 灵魂猎手冷却', '天赋4：', '2 崩裂禁锢能量点数', '+500 邪恶净化伤害']"
德鲁伊,lone_druid,41.4524,http://cdn.max-c.com/app/dota2/lone_druid@3x.png,319977,114,"['速度之靴', '阿哈利姆神杖', '静谧之鞋', '怨灵系带', '迈达斯之手', '动力鞋', '相位鞋', '圆盾', '漩涡']","['[熊灵伙伴 ] 召唤一只可以装备物品的熊灵伙伴。若熊灵与德鲁伊的距离超过1100，则不能攻击。如果熊灵死亡，德鲁伊会受到自身最大生命值的10.0%作为反冲伤害。随着熊灵的等级提高，可以学习回归，缠绕之爪和粉碎击技能。熊灵装备的物品拥有的属性加成对熊灵无效。  可用神杖升级。  tips: 熊灵受到的大多数技能效果与英雄相同。 如果熊灵在3秒内受到伤害将无法重新召唤熊灵。 熊灵使用迈达斯之手后德鲁伊将获得相应的经验。 ', '[灵魂链接 ] 连接德鲁伊和熊灵，提升双方的攻击速度，并且造成的攻击伤害将治疗对方。 ', '[野蛮咆哮 ] 德鲁伊发出野性的咆哮，吓得周围敌人朝自己的基地狂奔。敌人的移动速度将增加20%。  tips: 被缠绕的英雄将无法移动。 与熊灵共享冷却时间。 ', '[战斗嚎叫 ] 提升德鲁伊和附近受其控制单位的攻击力和护甲。 ', '[真熊形态 ] 德鲁伊将自己的形态变换为狂怒的熊，失去远程攻击能力及部分基础移动速度，获得近战攻击能力和战斗嚎叫技能。他可以在德鲁伊形态和熊形态之间自由切换。  tips: 在2秒变形期间可以躲避眩晕技能。 幻影斧的冷却时间将由德鲁伊开启幻影斧时所处的近战或远程形态决定。 ', '[人形态 ] 切换成人形态。 ']","['天赋1：', '+125 攻击距离', '+250 生命', '天赋2：', '+10 熊灵护甲', '-12秒 野蛮咆哮冷却', '天赋3：', '缠绕之爪无冷却', '-25秒 战斗嚎叫冷却', '天赋4：', '战斗嚎叫提供技能免疫', '-0.5 熊灵攻击间隔']"
混沌骑士,chaos_knight,51.3936,http://cdn.max-c.com/app/dota2/chaos_knight@3x.png,1324366,67,"['动力鞋', '莫尔迪基安的臂章', '回音战刃', '幻影斧', '恐鳌之心', '黑皇杖', '圆盾', '魔杖', '迈达斯之手']","['[混乱之箭 ] 对目标单位投掷一支神秘的能量箭。造成随机时间的眩晕和随机的伤害。  tips: 眩晕持续时间和伤害值为负相关。 ', '[实相裂隙 ] 将混沌骑士及混沌骑士的幻象和目标单位传送到混沌骑士与目标连线上的固定位置，并且减缓目标的移动速度，同时降低其攻击速度。  tips: 目标单位将会强制面向混沌骑士，而且混沌骑士和幻象默认对目标发动攻击。 ', '[混沌一击 ] 混沌骑士的攻击造成威力不一的致命一击，并且触发时具有25 40 55 70%吸血效果。 ', '[混沌之军 ] 从另一维度内召唤若干个混沌骑士的幻象。幻象继承50 75 100%攻击力，但是承受260%伤害。  可用神杖升级。  驱散类型：弱驱散  tips: 能够移除混沌骑士的大部分负面状态。 混沌骑士在施放时有0.5秒的无敌时间，可以躲避眩晕和伤害技能。 ']","['天赋1：', '+20 移动速度', '+5 全属性', '天赋2：', '12% 冷却时间减少', '+15 力量', '天赋3：', '实相裂隙无视技能免疫', '+150 金钱/分', '天赋4：', '+2 混乱之箭最大眩晕', '-2秒 混沌一击冷却']"
